Name,log mass (log kg),Semi-major axis (km),Orbital period (days),Inclination (deg),Eccentricity,Discovery year,Group,Surface gravity (m/s²),Surface composition,Atmosphere composition,Radiation levels (mSv/year),Temperature range (C),Solar energy (W/m²),Water presence (Y/N),Potential biosignatures,Resource Availability (tons/km²),Extraction Rate (tons/year),Replenishment Rate (tons/year),Crust Stability Index,Operational Risk Factor,Years of Sustainable Extraction
S/2003 J 23,13.0,22739654,700.54,148.849,0.393,2004,Pasiphaë,0.0956785,Organics,O2,0.00043976,-200 to -150,0.001584711274647,Y,Not Detected,87,1,4.373364461210245,5,1,1.0
Erinome,13.60205999,22986266,711.96,163.737,0.2552,2001,Carme,0.0956785,Silicates,O2,0.000435042,-200 to -150,0.00155089000172,N,Detected,162,1,0.2719742968313894,3,3,222.51961612745538
Aoede,13.95424251,23044175,714.66,160.482,0.6011,2003,Pasiphaë,0.0956785,Mixed,None,0.000433949,-200 to -150,0.001543105158548,Y,Not Detected,197,1,5.905008208984019,3,3,1.0
Kallichore,13.0,23111823,717.81,164.605,0.2041,2003,Carme?,0.0956785,Mixed,None,0.000432679,-200 to -150,0.0015340850819707,N,Detected,74,1,0.6884500366164792,4,3,237.52209499991284
Kalyke,14.2787536,23180773,721.02,165.505,0.2139,2001,Carme,0.0956785,Mixed,None,0.000431392,-200 to -150,0.0015249725424497,Y,Detected,92,1,7.038418454092728,3,3,1.0
Carme,17.11394335,23197992,763.95,165.047,0.2342,1938,Carme,0.0956785,Mixed,None,0.000431072,-200 to -150,0.0015227095227144,Y,Detected,90,1,3.9869597516206445,5,1,1.0
Callirrhoe,14.93951925,23214986,727.11,139.849,0.2582,2000,Pasiphaë,0.0956785,Organics,SO2,0.000430756,-200 to -150,0.00152048100926,Y,Detected,184,1,3.4429688262133484,5,1,1.0
Eurydome,13.60205999,23230858,723.36,149.324,0.3769,2002,Pasiphaë?,0.0956785,Silicates,H2O,0.000430462,-200 to -150,0.0015184040450455,N,Not Detected,79,1,0.20571019161570608,4,3,99.45991899442596
S/2011 J 2,13.0,23329710,725.06,151.8,0.3867,2011,Pasiphaë?,0.0956785,Silicates,H2O,0.000428638,-200 to -150,0.0015055638269157,N,Detected,107,1,0.9307811340932041,4,3,1545.8213392874254
Pasithee,13.0,23307318,726.93,165.759,0.3288,2002,Carme,0.0956785,Organics,None,0.00042905,-200 to -150,0.0015084580921014,N,Detected,122,1,0.23382514620386405,5,1,159.23258169532903
S/2010 J 1,13.0,23314335,722.83,163.2,0.32,2010,Pasiphaë?,0.0956785,Silicates,H2O,0.000428921,-200 to -150,0.0015075502165345,N,Detected,129,1,0.790098480221976,3,3,614.5739208387852
Kore,13.0,23345093,776.02,137.371,0.1951,2003,Pasiphaë,0.0956785,Organics,H2O,0.000428356,-200 to -150,0.0015035803301866,Y,Not Detected,111,1,2.9710343669564794,4,3,1.0
Cyllene,13.0,23396269,731.1,140.148,0.4115,2003,Pasiphaë,0.0956785,Mixed,None,0.000427419,-200 to -150,0.0014970097892651,N,Not Detected,123,1,0.5913820958969365,3,3,301.0147102339802
Eukelade,13.95424251,23483694,735.2,163.996,0.2828,2003,Carme,0.0956785,Organics,H2O,0.000425827,-200 to -150,0.0014858844127926,Y,Not Detected,54,1,9.75806653113781,4,3,1.0
S/2003 J 4,13.0,23570790,739.29,147.175,0.3003,2003,Pasiphaë,0.0956785,Mixed,O2,0.000424254,-200 to -150,0.0014749237712475,Y,Not Detected,98,1,7.061139423939242,4,3,1.0
Pasiphaë,17.47712125,23609042,739.8,141.803,0.3743,1908,Pasiphaë,0.0956785,Mixed,CO2,0.000423567,-200 to -150,0.0014701482213977,N,Detected,188,1,0.6245669687498774,5,1,500.75508639715247
Hegemone,13.60205999,23702511,745.5,152.506,0.4077,2003,Pasiphaë,0.0956785,Water Ice,CO2,0.000421896,-150 to -100,0.0014585762537837,N,Detected,530,1,0.10876174956158255,5,1,594.6782465174522
Arche,13.60205999,23717051,746.19,164.587,0.1492,2002,Carme,0.0956785,Organics,None,0.000421638,-150 to -100,0.0014567884094245,N,Not Detected,79,1,0.9329362115958361,4,3,1177.9829604003544
Isonoe,13.84509804,23800647,750.13,165.127,0.1775,2001,Carme,0.0956785,Water Ice,SO2,0.000420157,-150 to -100,0.0014465729044054,N,Detected,612,1,0.5694925173284374,5,1,1421.5780785090312
S/2003 J 9,13.0,23857808,752.84,164.98,0.2761,2003,Carme,0.0956785,Organics,None,0.00041915,-200 to -150,0.0014396495107643,N,Detected,73,1,0.6372058552665162,4,3,201.21603686197122
S/2003 J 5,13.95424251,23973926,758.34,165.549,0.307,2003,Carme,0.0956785,Organics,SO2,0.00041712,-200 to -150,0.0014257373648088,N,Detected,88,1,0.9780490282691042,4,3,4008.9341409948097
Sinope,16.87506126,24057865,739.33,153.778,0.275,1914,Pasiphaë,0.0956785,Water Ice,CO2,0.000415664,-150 to -100,0.0014158057941625,N,Not Detected,458,1,0.10501609711278401,6,1,511.741047545652
Sponde,13.0,24252627,771.6,154.372,0.4431,2002,Pasiphaë,0.0956785,Water Ice,None,0.000412326,-150 to -100,0.0013931576929876,N,Not Detected,546,1,0.23078240776386674,6,1,709.8121591483177
Autonoe,13.95424251,24264445,772.17,151.058,0.369,2002,Pasiphaë,0.0956785,Organics,O2,0.000412126,-150 to -100,0.0013918009483238,Y,Detected,75,1,2.766995581283447,4,3,1.0
Megaclite,14.32221929,24687239,792.44,150.398,0.3077,2001,Pasiphaë,0.0956785,Silicates,H2O,0.000405068,-150 to -100,0.0013445371590659,N,Not Detected,116,1,0.13598596030229562,3,3,134.25707762872153
S/2003 J 2,13.0,30290846,1077.02,153.521,0.1882,2003,*?*,0.0956785,Mixed,SO2,0.000330133,-200 to -150,0.0008930896294355,N,Not Detected,178,1,0.9521738609550605,5,1,3721.814128310537
Themisto,15.37462068616924,7507000,130.0,151.058,0.369,1975,Prograde,0.001,Carbonaceous Rock,None,0.001,-220 to -150,0.0145406901690745,N,Not Detected,55,1,0.9649345067759821,5,1,1568.4935514418528
Leda,14.874487539040306,11165000,240.9,147.175,0.2041,1974,Prograde,0.071733,Carbonaceous Rock,None,10.23,-230 to -180,0.006573556462307,N,Not Detected,113,1,0.5116349159198471,3,8,231.3842731259917
S/2018 J2,14.84606812726928,11419700,252.0,141.803,0.2139,2018,Prograde,0.07996,Carbonaceous Rock,None,10.06,-230 to -180,0.0062835990076929,N,Not Detected,172,1,0.40779859563392673,4,8,290.4417293371987
Himalia,14.841519678898091,11461000,250.6,152.506,0.2342,1904,Prograde,0.062179,Carbonaceous Rock,None,1.03,-230 to -180,0.0062383943904908,N,Not Detected,151,1,0.5610806338939023,5,6,344.02674308861447
Ersa,14.839103463025436,11483000,252.0,164.587,0.2582,2018,Prograde,0.13366,Carbonaceous Rock,None,1.11,-230 to -180,0.0062145133132942,y,Not Detected,160,1,0.5398966054954174,4,8,347.74792342551694
Pandia,14.834503514655792,11525000,252.1,165.127,0.3769,2017,Prograde,0.128879,Carbonaceous Rock,None,1.03,-230 to -180,0.0061693013450681,N,Detected,128,1,0.29880252949552666,4,8,182.5448684347235
S/2011 J3,14.813707948176448,11716800,263.0,164.98,0.3867,2011,Prograde,0.104942,Carbonaceous Rock,None,8.16,-230 to -180,0.0059689758091765,N,Not Detected,135,1,0.3603807667637636,5,6,211.06307156673512
Lysithea,14.813686441696683,11717000,259.2,165.549,0.3288,1938,Prograde,0.118932,Carbonaceous Rock,None,3.01,-230 to -180,0.0059687720394448,N,Not Detected,130,1,0.7268939589976313,4,8,476.0055820181308
Elara,14.811108325636166,11741000,259.6,153.778,0.32,1905,Prograde,0.062464,Carbonaceous Rock,None,5.7,-230 to -180,0.0059443952200274,N,Not Detected,78,1,0.986990555364405,5,6,5995.64410202303
Dia,14.7712877701147,12118000,287.0,165.505,0.1951,2000,Prograde,0.132446,Carbonaceous Rock,None,14.38,-230 to -180,0.0055802795518656,y,Not Detected,102,1,0.1881827644932373,4,8,125.64404343587049
S/2018 J4,14.395546443690748,16328500,434.7,165.047,0.4115,2018,Retrograde,0.0603,Mixed Minerals,None,5.72,-230 to -180,0.003073443765159,y,Not Detected,71,1,0.5897467410104499,5,6,173.06382934013084
Carpo,14.345584494664015,16989000,456.1,139.849,0.2828,2003,Retrograde,0.054188,Mixed Minerals,None,6.92,-150 to -100,0.0028391100020084,y,Not Detected,108,1,0.6823826447527128,4,6,340.0317968012626
Valetudo,14.20595759474866,18980000,533.3,149.324,0.3003,2016,Retrograde,0.101044,Mixed Minerals,None,4.76,-150 to -100,0.0022747068540119,y,Not Detected,109,1,0.9807143997626989,4,6,5651.885274961708
S/2003 J12,14.20446619147232,19002480,533.3,151.8,0.2582,2003,Retrograde,0.061339,Mixed Minerals,None,7.82,-150 to -100,0.0022693280652018,N,Not Detected,62,1,0.9980344917151902,4,6,31544.003390451206
Euporie,14.187126801636474,19265800,550.69,165.759,0.3769,2001,Ananke,0.102419,Water Ice & Organics,None,6.95,-220 to -170,0.0022077188071828,y,Not Detected,426,1,0.9086473386435058,5,4,4663.2467371429875
S/2003 J18,14.11899398844886,20336300,598.12,145.3,0.3867,2003,Ananke,0.127757,Water Ice & Organics,Thin CO2 traces,1.59,-220 to -170,0.0019814082753817,N,Not Detected,676,1,0.31615495412573413,4,6,988.5280358151366
Eupheme,14.092491313784578,20768600,617.73,148.0,0.241,2003,Ananke,0.120814,Water Ice & Organics,Thin CO2 traces,14.99,-220 to -170,0.0018997804249417,N,Detected,681,1,0.9916554225169034,4,6,81609.88394912575
S/2021 J3,14.092000015578844,20776700,618.33,147.9,0.239,2021,Ananke,0.120002,Water Ice & Organics,Thin CO2 traces,9.84,-220 to -170,0.001898299417677,N,Detected,320,1,0.10464110050860737,6,4,357.3985808168943
S/2010 J2,14.091011934030169,20793000,618.84,148.1,0.248,2010,Ananke,0.087035,Water Ice & Organics,None,8.68,-220 to -170,0.0018953243633407,y,Detected,322,1,0.6022399872401493,6,4,809.5333609977754
S/2016 J1,14.090430358800866,20802600,618.49,144.7,0.232,2016,Ananke,0.097362,Water Ice & Organics,Thin CO2 traces,10.48,-220 to -170,0.0018935754554599,N,Detected,370,1,0.28511622223562694,4,6,517.5666472067472
Mneme,14.089316422735852,20821000,620.07,148.0,0.247,2003,Ananke,0.098066,Water Ice & Organics,Thin CO2 traces,9.08,-150 to -100,0.0018902301412931,N,Not Detected,491,1,0.5643647146896931,5,4,1127.089601225154
Euanthe,14.088953395544486,20827000,620.44,148.0,0.239,2001,Ananke,0.062184,Water Ice & Organics,None,1.15,-150 to -100,0.0018891411945229,N,Detected,418,1,0.3367989313270714,6,4,630.2764270817926
S/2003 J16,14.085594309899822,20882600,622.88,148.0,0.243,2003,Ananke,0.134662,Water Ice & Organics,None,7.31,-150 to -100,0.0018790948956221,y,Not Detected,507,1,0.8624223969875789,6,4,3685.1928576937485
Harpalyke,14.085021260151567,20892100,623.32,147.7,0.232,2000,Ananke,0.082505,Water Ice & Organics,None,6.63,-150 to -100,0.0018773863701185,N,Not Detected,564,1,0.9729958146169172,6,4,20885.651316603933
Orthosie,14.084484639379031,20901000,622.59,144.3,0.299,2001,Ananke,0.145279,Water Ice & Organics,None,0.17,-220 to -170,0.001875787864663,y,Not Detected,646,1,0.4584530465354011,4,6,1192.8790216012715
Helike,14.08359881087961,20915700,626.33,154.4,0.153,2003,Ananke,0.056956,Water Ice & Organics,None,9.41,-220 to -170,0.0018731521037959,y,Detected,467,1,0.3442907374379226,5,4,712.2058916405624
S/2021 J2,14.082942373940329,20926600,625.14,148.1,0.242,2021,Ananke,0.093995,Water Ice & Organics,None,1.7,-220 to -170,0.0018712012813445,N,Not Detected,566,1,0.7353932611547198,4,6,2139.0233766153224
Praxidike,14.0824126559067,20935400,625.39,148.3,0.246,2000,Ananke,0.051102,Water Ice & Organics,None,9.43,-220 to -170,0.0018696285279707,N,Detected,376,1,0.27380880686944414,5,4,517.769980628782
